date,id,status,category,submarket,asset,parties,what,size,angle,src
2026-07-02,celestica-manufacturing-campus,Update,Industrial,Richardson,Telecom Parkway campus,Celestica; City of Richardson,"Lease renewal plus new 343,000 SF building; $300M capex; ~2,300 jobs; $3M city TI grant.",343K SF new; ~1M SF total.,Comp for power-heavy manufacturing incentive packages along the corridor.,"[1,2,3]"
2026-07-02,566-n-beach-st-lease,New,Industrial,Fort Worth,566 N Beach St,Tenant unconfirmed; Lee & Associates DFW,"35,000 SF industrial lease closed June 19.","35,000 SF.",Small-bay Fort Worth comp; tenant-rep potential.,[14]
2026-07-02,alliance-gateway-34-mach,New,Industrial,Alliance,Alliance Gateway 34,Mach Industries; Hillwood; City of Fort Worth,"Council weighing $4.5M incentive; August 10 vote; $74M investment, 1,000-plus jobs.","310,036 SF.",Pending absorption; a fresh incentive-per-job comp if approved.,"[19,20,21]"
2026-07-02,alliance-westport-16-spec,New,Industrial,Alliance,Alliance Westport 16 plus two spec buildings,Hillwood,"1,214,969 SF spec building announced; AllianceTexas pipeline now ~8.2M SF.",1.21M SF; delivery July 2027.,Major new supply; large-bay leasing opportunity and rent-comp watch.,"[22,23]"
2026-07-02,three-property-ios-portfolio-1-in-tulsa,Update,IOS,Duncanville / Blue Mound,Three-property IOS portfolio,Zenith IOS (buyer); Newmark (broker),"Acquired five-building, roughly 30-acre portfolio; 105K-plus SF; price undisclosed.",~30 acres.,Active IOS buyer; owner outreach candidate on comparable sites.,[16]
2026-07-02,red-oak-data-center-campus,Update,Data Center,Red Oak,DataBank campus (DFW9 to DFW11),DataBank; Oracle; MUFG; Citizens Bank N.A.,"Closed $1.45B financing following the $2.0B April construction loan; 180 MW live, up to 480 MW planned.",292 to 300 acres.,Capital-conviction signal for power-heavy land in southern Dallas County.,"[4,5,6]"
2026-07-02,celestica-alliancetexas-mfg,New,Data Center,Alliance,Celestica equipment-manufacturing campus,Celestica; Hillwood,Data-center-equipment manufacturing commitment; investment figure disputed between sources.,"1M-plus SF; ~1,700 jobs.",Supply-chain-adjacent demand driver for AllianceTexas land and big-box.,"[18,45]"
2026-07-02,black-mountain-power-data-center,New,Land,Kennedale,Black Mountain Power site,Black Mountain Power; City of Fort Worth,450-plus acres rezoned for a proposed $10B campus; an additional 80-acre vote remains pending.,450-plus acres.,Large entitlement with reuse optionality if campus scope shifts.,"[25,26]"
2026-07-02,5051-south-freeway-zc-25-208,New,Municipal / Zoning,Fort Worth,5051 South Freeway,Series C LLC / Diamond Creek Investments,"Council approved ZC-25-208 April 28, unifying Light Industrial zoning.",8.47 acres.,Entitlement-precedes-disposition signal; outreach candidate.,[24]
2026-07-02,camp-howze-industrial-rail-park,Update,Land,"Gainesville (noted, not mapped)",Camp Howze Industrial Rail Park,Stream Realty; Hughes Commercial; B-29 Investments; BNSF,Groundbreaking June 18; dedicated BNSF connection targeted in service by Q2 2027.,489 acres; up to 7M SF.,Emerging rail-served node north of core DFW; longer-dated watch item.,[27]
2026-07-02,2401-mckinney-morgan-stanley,New,Major Employer,Uptown Dallas,2401 McKinney Ave tower,Morgan Stanley; Trammell Crow Co.; City of Dallas,Council approved $18.5M incentive June 24; construction projected fall 2026.,708 to 709K SF; $1.3B.,Catalyst for further Uptown investment; watch adjacent site interest.,"[7,8,9]"
2026-07-02,victory-commons-one,New,Office,Uptown Dallas,Victory Commons One,Hillwood Urban; Affinius Capital; JLL,"JLL hired to explore a sale, refinance, recapitalization, or new equity partner.","364,428 SF; 93% leased.",Trophy disposition candidate; a live Uptown pricing comp when it clears.,"[28,29]"
2026-07-02,2626-mckinney-stonelake-tower,New,Office,Uptown Dallas,2626 McKinney Ave,Stonelake Capital Partners; Bank OZK (reported),Construction financing secured; groundbreaking expected July 2026.,17 stories.,Spec office conviction signal at the top of the Uptown market.,[30]
2026-07-02,75-west-apartments-foreclosure,New,Distress / Lender Action,North Dallas,75 West Apartments,"Blackstone (borrower, reported); Ares (lender)",Foreclosure action reported June 26; auction date unconfirmed.,490 units; $90M loan.,Multifamily distress sourcing signal; track servicer and disposition path.,[31]
2026-07-02,atletico-dallas-trinity-fc,New,Sports / Entertainment,South Dallas,Cotton Bowl (interim); stadium site search,Atletico Dallas; Dallas Trinity FC,Acquired Trinity FC June 30; unified group searching for a permanent stadium and training site.,Terms undisclosed.,Future stadium search is a land watch item into the fall.,[33]
